open_time,open,high,low,close,volume
2025-12-26 04:00:00,2964.44,2965.12,2951.75,2957.5,739157.48
2025-12-26 04:30:00,2957.5,2972.7,2957.49,2969.99,1260944.52
2025-12-26 05:00:00,2969.99,2971.67,2966.69,2967.66,245932.552
2025-12-26 05:30:00,2967.66,2973.19,2966.4,2972.0,430459.924
2025-12-26 06:00:00,2972.0,2978.78,2971.88,2975.4,440564.188
2025-12-26 06:30:00,2975.4,2980.18,2973.01,2975.91,629893.43
2025-12-26 07:00:00,2976.84,2990.09,2975.49,2984.78,1209126.504
2025-12-26 07:30:00,2984.78,2984.78,2953.26,2955.43,1898329.254
2025-12-26 08:00:00,2955.18,2968.07,2954.55,2962.13,1197798.497
2025-12-26 08:30:00,2962.13,2963.12,2956.62,2963.12,883097.509
2025-12-26 09:00:00,2963.12,2968.45,2962.57,2965.86,435197.001
2025-12-26 09:30:00,2965.87,2973.64,2965.19,2972.75,500088.967
2025-12-26 10:00:00,2972.75,2973.64,2967.15,2972.63,581376.284
2025-12-26 10:30:00,2972.63,2972.86,2968.84,2970.58,324739.984
2025-12-26 11:00:00,2970.62,2971.99,2962.49,2964.06,638043.341
2025-12-26 11:30:00,2964.06,2967.71,2962.49,2963.41,326155.178
2025-12-26 12:00:00,2963.4,2969.73,2963.24,2968.71,439821.421
2025-12-26 12:30:00,2968.71,2972.45,2967.78,2971.31,310019.774
2025-12-26 13:00:00,2971.31,2976.95,2970.75,2976.0,895291.236
2025-12-26 13:30:00,2976.01,2983.95,2974.18,2983.94,612811.499
2025-12-26 14:00:00,2983.94,2983.95,2976.49,2976.5,851896.544
2025-12-26 14:30:00,2976.5,2977.9,2910.15,2916.95,3910314.853
2025-12-26 15:00:00,2916.95,2918.09,2894.52,2917.14,3562851.253
2025-12-26 15:30:00,2917.14,2925.97,2912.09,2921.79,1801102.264
2025-12-26 16:00:00,2921.8,2926.83,2916.8,2920.99,1632160.922
2025-12-26 16:30:00,2920.98,2923.39,2905.92,2908.21,1624210.207
2025-12-26 17:00:00,2908.24,2931.9,2906.46,2929.49,1491485.939
2025-12-26 17:30:00,2929.49,2932.51,2916.19,2919.4,1122548.021
2025-12-26 18:00:00,2919.4,2925.01,2918.99,2919.22,675765.224
2025-12-26 18:30:00,2919.22,2926.91,2919.08,2921.81,877628.376
2025-12-26 19:00:00,2921.81,2924.52,2917.54,2921.19,678533.126
2025-12-26 19:30:00,2921.19,2928.95,2920.99,2924.39,944555.581
2025-12-26 20:00:00,2924.39,2928.66,2921.84,2927.82,759058.01
2025-12-26 20:30:00,2927.81,2936.25,2926.0,2929.86,1063403.703
2025-12-26 21:00:00,2929.86,2934.0,2928.85,2931.35,491587.028
2025-12-26 21:30:00,2931.35,2931.62,2923.65,2923.65,605215.726
2025-12-26 22:00:00,2923.65,2927.93,2920.63,2922.4,648614.786
2025-12-26 22:30:00,2922.4,2937.0,2922.39,2930.07,595728.235
2025-12-26 23:00:00,2930.07,2932.49,2927.01,2927.31,339623.672
2025-12-26 23:30:00,2927.31,2928.85,2925.29,2926.82,193703.026
2025-12-27 00:00:00,2927.94,2929.61,2923.06,2923.87,562973.042
2025-12-27 00:30:00,2923.86,2928.12,2923.19,2926.35,175987.931
2025-12-27 01:00:00,2926.35,2928.12,2921.5,2923.85,301852.14
2025-12-27 01:30:00,2923.85,2927.34,2923.85,2926.72,401940.009
2025-12-27 02:00:00,2926.72,2926.77,2923.05,2925.94,112087.852
2025-12-27 02:30:00,2925.94,2928.14,2925.68,2926.52,119600.391
2025-12-27 03:00:00,2926.52,2928.73,2924.31,2927.74,265250.051
2025-12-27 03:30:00,2927.74,2931.95,2927.7,2931.95,327392.218
2025-12-27 04:00:00,2931.95,2932.0,2928.0,2928.4,140551.157
2025-12-27 04:30:00,2928.34,2929.0,2927.43,2928.41,150959.417
2025-12-27 05:00:00,2928.45,2929.24,2927.19,2927.97,118618.631
2025-12-27 05:30:00,2927.97,2930.25,2927.95,2929.63,172239.422
2025-12-27 06:00:00,2929.63,2930.25,2926.62,2926.63,68931.47
2025-12-27 06:30:00,2927.18,2929.49,2926.36,2928.41,236338.654
2025-12-27 07:00:00,2928.41,2935.98,2927.22,2935.97,479601.759
2025-12-27 07:30:00,2935.97,2935.98,2931.12,2931.5,266532.419
2025-12-27 08:00:00,2931.47,2935.42,2931.47,2935.33,356603.999
2025-12-27 08:30:00,2935.33,2935.45,2932.68,2932.68,134022.977
2025-12-27 09:00:00,2932.68,2937.32,2930.84,2931.0,678382.449
2025-12-27 09:30:00,2931.0,2934.15,2930.84,2933.68,159794.502
2025-12-27 10:00:00,2933.68,2933.96,2930.2,2930.2,289826.42
2025-12-27 10:30:00,2930.65,2930.66,2919.31,2925.69,750038.968
2025-12-27 11:00:00,2925.69,2927.73,2921.85,2926.41,268734.465
2025-12-27 11:30:00,2926.41,2931.56,2926.41,2929.64,231093.182
2025-12-27 12:00:00,2929.64,2931.56,2927.95,2929.73,78319.247
2025-12-27 12:30:00,2929.73,2932.03,2929.72,2930.97,163737.017
2025-12-27 13:00:00,2930.97,2932.03,2925.74,2925.75,460761.427
2025-12-27 13:30:00,2925.75,2931.0,2925.37,2928.57,325705.359
2025-12-27 14:00:00,2928.57,2931.0,2925.19,2925.2,246244.911
2025-12-27 14:30:00,2925.2,2929.88,2925.19,2929.87,223848.788
2025-12-27 15:00:00,2929.87,2929.88,2925.3,2926.3,213177.759
2025-12-27 15:30:00,2926.3,2929.03,2925.06,2925.52,225065.08
2025-12-27 16:00:00,2925.52,2927.35,2920.26,2920.27,396820.005
2025-12-27 16:30:00,2920.27,2922.83,2916.81,2918.78,370656.354
2025-12-27 17:00:00,2918.77,2925.44,2918.01,2925.34,609225.888
2025-12-27 17:30:00,2925.33,2927.72,2923.83,2927.07,246832.042
2025-12-27 18:00:00,2927.07,2927.72,2924.63,2926.27,33653.398
2025-12-27 18:30:00,2926.27,2926.27,2923.88,2924.89,135856.843
2025-12-27 19:00:00,2924.89,2926.82,2924.85,2926.04,135827.385
2025-12-27 19:30:00,2926.04,2929.28,2926.01,2929.28,296050.057
2025-12-27 20:00:00,2929.28,2931.5,2929.03,2930.03,266828.974
2025-12-27 20:30:00,2930.03,2930.56,2927.83,2927.91,98281.107
2025-12-27 21:00:00,2927.91,2930.94,2927.31,2930.29,109579.896
2025-12-27 21:30:00,2930.3,2933.66,2930.29,2933.66,67370.143
2025-12-27 22:00:00,2933.66,2952.16,2929.82,2939.22,1289183.726
2025-12-27 22:30:00,2939.22,2939.25,2929.39,2932.32,1224451.163
2025-12-27 23:00:00,2932.32,2941.27,2932.01,2940.17,678727.927
2025-12-27 23:30:00,2940.17,2957.73,2938.01,2947.4,483045.899
2025-12-28 00:00:00,2947.39,2950.05,2943.28,2943.28,452906.607
2025-12-28 00:30:00,2943.28,2948.7,2942.32,2944.44,591155.507
2025-12-28 01:00:00,2944.44,2948.38,2940.76,2943.37,679542.256
2025-12-28 01:30:00,2943.37,2945.56,2941.23,2942.85,343976.011
2025-12-28 02:00:00,2942.85,2946.18,2941.61,2945.89,294959.537
2025-12-28 02:30:00,2945.89,2948.73,2945.22,2945.9,327914.423
2025-12-28 03:00:00,2945.9,2947.0,2940.65,2940.96,444384.88
2025-12-28 03:30:00,2940.91,2943.36,2940.9,2942.67,190716.053
2025-12-28 04:00:00,2942.67,2945.83,2940.37,2942.55,306269.9
2025-12-28 04:30:00,2942.55,2942.98,2937.44,2937.73,291254.259
2025-12-28 05:00:00,2937.73,2937.85,2932.36,2932.36,659868.194
2025-12-28 05:30:00,2932.36,2939.61,2929.81,2933.77,704057.166
2025-12-28 06:00:00,2933.77,2938.86,2932.28,2938.85,332732.134
2025-12-28 06:30:00,2938.85,2942.62,2938.09,2941.63,303515.84
2025-12-28 07:00:00,2941.64,2942.62,2936.79,2937.51,396126.819
2025-12-28 07:30:00,2937.51,2937.82,2935.91,2937.74,128935.857
2025-12-28 08:00:00,2937.74,2942.3,2935.91,2939.29,459772.859
2025-12-28 08:30:00,2939.29,2944.62,2937.35,2938.63,935118.1
2025-12-28 09:00:00,2938.63,2942.36,2937.05,2941.56,420139.659
2025-12-28 09:30:00,2941.56,2942.36,2931.39,2936.28,616217.712
2025-12-28 10:00:00,2936.28,2941.98,2936.28,2941.14,634044.546
2025-12-28 10:30:00,2941.14,2942.62,2938.71,2942.0,126701.603
2025-12-28 11:00:00,2942.0,2945.39,2941.98,2943.5,314956.48
2025-12-28 11:30:00,2943.5,2943.75,2938.68,2943.0,424111.844
2025-12-28 12:00:00,2943.0,2944.07,2938.84,2941.84,331928.833
2025-12-28 12:30:00,2941.84,2942.9,2936.5,2937.91,389473.65
2025-12-28 13:00:00,2937.91,2942.66,2937.31,2941.95,462787.462
2025-12-28 13:30:00,2941.95,2943.61,2938.31,2939.23,388426.781
2025-12-28 14:00:00,2939.23,2944.86,2938.86,2944.13,570608.508
2025-12-28 14:30:00,2944.14,2952.02,2944.1,2944.48,865964.073
2025-12-28 15:00:00,2944.48,2957.17,2944.41,2952.96,928487.843
