open_time,open,high,low,close,volume
2025-12-04,3196.16,3237.27,2886.0,3131.82,4877091.009
2025-12-05,3131.82,3188.0,2991.82,3022.12,5976626.984
2025-12-06,3022.13,3070.0,3013.04,3036.61,2649198.575
2025-12-07,3036.62,3146.07,2931.92,3058.2,5890481.593
2025-12-08,3058.27,3200.0,3042.91,3123.15,6745281.43
2025-12-09,3122.82,3393.85,3091.78,3318.65,6092953.82
2025-12-10,3318.65,3449.99,3288.51,3322.76,6548239.595
2025-12-11,3322.76,3325.4,2868.0,3235.64,35117458.722
2025-12-12,3235.63,3270.0,3048.34,3083.21,45423560.934
2025-12-13,3082.19,3415.84,3078.42,3124.0,22253948.726
2025-12-14,3114.0,3400.0,3025.79,3061.12,36819362.522
2025-12-15,3061.06,3180.0,2900.63,2963.19,56856093.159
2025-12-16,2963.33,2975.37,2879.71,2960.42,59760039.106
2025-12-17,2960.31,3026.0,2792.41,2831.13,58538643.466
2025-12-18,2831.13,2995.19,2777.0,2870.4,35186444.656
2025-12-19,2870.4,3015.43,2830.0,2978.41,56015019.447
2025-12-20,2978.41,2992.65,2880.0,2976.59,19286312.586
2025-12-21,2976.6,3009.61,2943.32,3000.62,47802587.405
2025-12-22,3000.62,3075.0,2964.11,3006.48,76233706.28
2025-12-23,3006.48,3033.1,2902.39,2963.01,67455743.714
2025-12-24,2963.06,2975.34,2888.61,2946.23,49641402.604
2025-12-25,2946.23,2969.24,2850.0,2902.62,33755829.13
2025-12-26,2902.62,2991.37,2893.66,2926.82,50693318.994
2025-12-27,2927.94,2957.73,2916.81,2947.4,15148603.92
2025-12-28,2947.39,2957.17,2926.07,2949.08,25956556.606
2025-12-29,2949.08,3053.0,2910.44,2937.15,64690351.428
2025-12-30,2937.41,3003.43,2918.7,2973.55,49742233.338
2025-12-31,2973.3,3024.18,2788.0,2970.4,37141781.645
2026-01-01,2970.4,3008.0,2969.14,3002.09,22383381.693
2026-01-02,3002.09,3150.13,2991.17,3123.89,72442568.876
2026-01-03,3124.19,3140.0,3077.56,3125.1,58192097.85
2026-01-04,3124.88,3164.77,3120.18,3143.62,39968669.978
2026-01-05,3143.63,3280.0,3134.57,3223.72,77283209.2
2026-01-06,3223.76,3304.35,3185.0,3296.4,82040268.536
2026-01-07,3296.4,3299.0,2963.35,3163.02,15233353.216
2026-01-08,3163.01,3177.14,3040.73,3105.46,37245410.409
2026-01-09,3105.49,3143.15,3050.0,3086.96,77959864.925
2026-01-10,3086.92,3110.0,2963.24,3085.47,39294410.84
2026-01-11,3085.48,3435.81,2963.03,3117.17,26928859.987
2026-01-12,3125.0,3169.62,3050.0,3093.85,67959445.788
2026-01-13,3093.85,3372.01,3091.6,3324.7,65702603.504
2026-01-14,3324.7,3396.51,3180.28,3352.77,63214437.439
2026-01-15,3352.77,3382.63,3275.39,3316.99,64315029.927
2026-01-16,3317.0,3324.9,3252.02,3294.78,44590224.929
2026-01-17,3294.79,3327.91,3283.24,3308.91,15567319.371
2026-01-18,3308.89,3366.71,3177.32,3282.77,27006896.32
2026-01-19,3282.77,3282.85,3167.5,3188.15,45480333.427
2026-01-20,3188.14,3198.94,2931.54,2938.25,79594125.056
2026-01-21,2938.25,3065.1,2867.04,2980.66,86638614.34
2026-01-22,2980.67,3035.75,2907.0,2951.21,67121383.31
2026-01-23,2951.44,3014.24,2895.74,2955.65,65675493.396
2026-01-24,2955.65,2968.13,2777.0,2952.08,17305592.185
2026-01-25,2951.52,2957.88,2780.0,2815.96,55646219.232
2026-01-26,2815.96,2948.1,2795.22,2928.78,75298888.479
2026-01-27,2928.78,3033.66,2901.13,3024.92,65054593.694
2026-01-28,3024.94,3111.02,2930.4,3009.37,66215478.646
2026-01-29,3009.37,3111.03,2730.0,2821.21,85649023.704
2026-01-30,2821.28,2945.0,2638.29,2704.65,119249957.427
2026-01-31,2704.65,2929.84,2270.89,2450.17,120484629.258
2026-02-01,2450.17,2473.61,2224.84,2268.35,156218946.499
2026-02-02,2268.35,2392.06,2000.0,2345.56,182316823.758
2026-02-03,2345.56,2463.66,2111.01,2231.33,166219229.341
2026-02-04,2231.33,2293.72,2076.82,2146.39,182012966.014
